Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.symbol	Gene.name	Gene.description	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
S000001734	YKR026C	GCN3	General Control Nonderepressible	Alpha subunit of translation initiation factor eIF2B (eIF2Bα); guanine-nucleotide exchange factor for eIF2; mutations in eIF2Bα alter localization of eIF2B; activity regulated by phosphorylated eIF2; positive regulator of GCN4 expression; mutations in human ortholog EIF2B2 cause fatal brain disease childhood ataxia with central nervous system hypomyelination (CACH); human ortholog EIF2B1 can complement yeast null mutant	Verified	chrXI	488738	489655	-1
S000001735	YKR027W	BCH2	Bud7 and Chs6 Homolog	Member of the ChAPs (Chs5p-Arf1p-binding proteins) family; part of the exomer complex with Chs5p to mediate export of specific cargo proteins, including Chs3p, from the Golgi to the plasma membrane; BCH2 has a paralog, CHS6, that arose from the whole genome duplication	Verified	chrXI	491364	493661	1
S000001736	YKR028W	SAP190	Sit4 Associated Protein	Protein that forms a complex with the Sit4p protein phosphatase; required for Sit4p function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p; SAP190 has a paralog, SAP185, that arose from the whole genome duplication	Verified	chrXI	494257	497358	1
S000001737	YKR029C	SET3	SET domain-containing	Defining member of the SET3 histone deacetylase complex; which is a meiosis-specific repressor of sporulation genes; necessary for efficient transcription by RNAPII; one of two yeast proteins that contains both SET and PHD domains; SET3 has a paralog, SET4, that arose from the whole genome duplication	Verified	chrXI	497578	499833	-1
S000001738	YKR030W	GMH1	Gea1-6 Membrane-associated High-copy suppressor	Golgi membrane protein of unknown function; interacts with Gea1p and Gea2p; required for localization of Gea2p; computational analysis suggests a possible role in either cell wall synthesis or protein-vacuolar targeting; conserved from yeast to human	Verified	chrXI	500282	501103	1
S000001739	YKR031C	SPO14	SPOrulation	Phospholipase D; catalyzes the hydrolysis of phosphatidylcholine, producing choline and phosphatidic acid; involved in Sec14p-independent secretion; required for meiosis and spore formation; differently regulated in secretion and meiosis; participates in transcription initiation and/or early elongation of specific genes; interacts with 'foot domain' of RNA polymerase II; deletion results in abnormal CTD-Ser5 phosphorylation of RNA polymerase II at specific promoter regions	Verified	chrXI	501344	506395	-1
S000001740	YKR032W	""	""	Putative protein of unknown function; conserved among S. cerevisiae strains	Uncharacterized	chrXI	506517	506831	1
S000001741	YKR033C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene DAL80	Dubious	chrXI	506879	507304	-1
S000001742	YKR034W	DAL80	Degradation of Allantoin	Negative regulator of genes in multiple nitrogen degradation pathways; expression is regulated by nitrogen levels and by Gln3p; member of the GATA-binding family, forms homodimers and heterodimers with Gzf3p; DAL80 has a paralog, GZF3, that arose from the whole genome duplication	Verified	chrXI	506898	507707	1
S000001743	YKR035C	OPI8	OverProducer of Inositol	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene DID2/YKR035W-A	Dubious	chrXI	507920	508561	-1
S000001744	YKR036C	CAF4	CCR4 Associated Factor	WD40 repeat-containing protein associated with the CCR4-NOT complex; interacts in a Ccr4p-dependent manner with Ssn2p; also interacts with Fis1p, Mdv1p and Dnm1p and plays a role in mitochondrial fission; CAF4 has a paralog, MDV1, that arose from the whole genome duplication	Verified	chrXI	508702	510633	-1
S000001745	YKR037C	SPC34	Spindle Pole Component	Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body	Verified	chrXI	510910	511797	-1
S000001746	YKR038C	KAE1	Kinase-Associated Endopeptidase	ADP/GDP nucleotidase, essential functional component of KEOPS complex, with Bud32p, Cgi121p, Pcc1p, and Gon7p; EKC/KEOPS complex is required for t6A tRNA modification and telomeric TG1-3 recombination; may have role in transcription; homolog of human OSGEP	Verified	chrXI	511999	513159	-1
S000001747	YKR039W	GAP1	General Amino acid Permease	General amino acid permease; involved in uptake of all L-amino acids, some D-amino acids, related compounds, toxic analogs and polyamines; regulated by nitrogen source; targeted to vacuole via Vps10p-dependent endosomal vacuolar protein sorting pathway; essential for invasive growth	Verified	chrXI	515063	516871	1
S000001748	YKR040C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YKR041W	Dubious	chrXI	518063	518566	-1
S000001749	YKR041W	""	""	Protein of unknown function; localizes to the mitotic spindle; overexpression of YKR041W affects endocytic protein trafficking	Verified	chrXI	518198	518950	1
S000001750	YKR042W	UTH1	yoUTH	Mitochondrial inner membrane protein; role in mitophagy is disputed; implicated in cell wall biogenesis, the oxidative stress response, life span during starvation, and cell death; SUN family member; UTH1 has a paralog, NCA3, that arose from the whole genome duplication	Verified	chrXI	519527	520624	1
S000001751	YKR043C	SHB17	SedoHeptulose 1,7-Bisphosphatase	Sedoheptulose bisphosphatase involved in riboneogenesis; dephosphorylates sedoheptulose 1,7-bisphosphate, which is converted via the nonoxidative pentose phosphate pathway to ribose-5-phosphate; facilitates the conversion of glycolytic intermediates to pentose phosphate units; also has fructose 1,6-bisphosphatase activity but this is probably not biologically relevant, since deletion does not affect FBP levels; GFP-fusion protein localizes to the cytoplasm and nucleus	Verified	chrXI	520897	521712	-1
S000001752	YKR044W	UIP5	Ulp1 Interacting Protein	Protein of unknown function that interacts with Ulp1p; a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates	Verified	chrXI	522015	523346	1
S000001753	YKR045C	""	""	Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm	Uncharacterized	chrXI	523418	523969	-1
S000001754	YKR046C	PLN1	PeriLipiN	Perilipin, involved in formation and stability of lipid droplets; expression pattern suggests a role in respiratory growth; computational analysis of large-scale protein-protein interaction data suggests a role in ATP/ADP exchange	Verified	chrXI	524223	525074	-1
S000001755	YKR047W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene NAP1	Dubious	chrXI	525257	525562	1
S000001756	YKR048C	NAP1	Nucleosome Assembly Protein	Histone chaperone and assembly chaperone for Rps6a/b; involved in histone exchange, replacing histone H2A-H2B dimers or histone variant dimers from assembled nucleosomes; promotes solubility of Rps6a, and 40S ribosomal subunit biogenesis; role in transport of H2A and H2B histones to the nucleus; regulates microtubule dynamics during mitosis; interacts with mitotic cyclin Clb2p; controls bud morphogenesis; phosphorylated by CK2; protein abundance increases in response to DNA replication stress	Verified	chrXI	525387	526640	-1
S000001757	YKR049C	FMP46	Found in Mitochondrial Proteome	Putative redox protein containing a thioredoxin fold; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Verified	chrXI	526830	527231	-1
S000001758	YKR050W	TRK2	TRansport of potassium (K)	Component of the Trk1p-Trk2p potassium transport system; contributes to K(+) supply and maintenance of plasma-membrane potential; TRK2 has a paralog, TRK1, that arose from the whole genome duplication	Verified	chrXI	527815	530484	1
S000001759	YKR051W	HFL1	Has Fused Lysosomes	Vacuole membrane protein that interacts with Atg8p; functions in the vacuolar membrane recruitment of Atg8p to facilitate the degradation of vacuolar integral membrane proteins during early-stationary vacuole turnover (EVT), a general degradation process for vacuolar integral membrane proteins when cells enter stationary phase; null mutant is defective in stationary phase-induced vacuolar microdomain formation; homolog of S. pombe hfl1; homolog of human TMEM184	Verified	chrXI	530946	532202	1
S000001760	YKR052C	MRS4	Mitochondrial RNA Splicing	Iron transporter of the mitochondrial carrier family; mediates Fe2+ transport across the inner mitochondrial membrane; active under low-iron conditions; may transport other cations; protein abundance increases in response to DNA replication stress; MRS4 has a paralog, MRS3, that arose from the whole genome duplication	Verified	chrXI	532550	533464	-1
S000001761	YKR053C	YSR3	Yeast Sphingolipid Resistance	Dihydrosphingosine 1-phosphate phosphatase; membrane protein involved in sphingolipid metabolism; YSR3 has a paralog, LCB3, that arose from the whole genome duplication	Verified	chrXI	534067	535281	-1
S000001762	YKR054C	DYN1	DYNein	Cytoplasmic heavy chain dynein; microtubule motor protein; member of the AAA+ protein family, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p; motility along microtubules inhibited by She1p	Verified	chrXI	535647	547925	-1
S000001763	YKR055W	RHO4	Ras HOmolog	Non-essential small GTPase; member of the Rho/Rac subfamily of Ras-like proteins; likely to be involved in the establishment of cell polarity; has long N-terminal extension that plays an important role in Rho4p function and is shared with Rho4 homologs in other yeasts and filamentous fungi	Verified	chrXI	548216	549091	1
S000001764	YKR056W	TRM2	tRNA Methyltransferase	tRNA methyltransferase; 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation; involved in the methylation of guanosine and uridine ribonucleosides in mRNA; endo-exonuclease with a role in DNA repair	Verified	chrXI	549448	551367	1
S000001765	YKR057W	RPS21A	Ribosomal Protein of the Small subunit	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S21, no bacterial homolog; RPS21A has a paralog, RPS21B, that arose from the whole genome duplication	Verified	chrXI	551657	552242	1
S000001766	YKR058W	GLG1	Glycogenin-Like Gene	Glycogenin glucosyltransferase; self-glucosylating initiator of glycogen synthesis, also glucosylates n-dodecyl-beta-D-maltoside; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole respectively; similar to mammalian glycogenin; GLG1 has a paralog, GLG2, that arose from the whole genome duplication	Verified	chrXI	552770	554620	1
S000001767	YKR059W	TIF1	Translation Initiation Factor	Translation initiation factor eIF4A; DEAD-box RNA helicase that couples ATPase activity to mRNA binding and unwinding; ATP hydrolysis accelerates the recruitment of mRNA during 48S preinitiation complex (PIC) assembly; ATPase activity stimulated by either eIF4G1 or by the PIC in an eIF3g and eIFGi subunit-dependent manner, independent of eIF4E and eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) with eIF4E and eIF4G; protein abundance increases in response to DNA replication stress	Verified	chrXI	554987	556174	1
S000001768	YKR060W	UTP30	U Three Protein	Subunit of U3-containing 90S preribosome complex; complex is involved in production of 18S rRNA and assembly of small ribosomal subunit; Utp30p is peripherally associated with 90S preribosome and appears partially redundant with its paralog Cic1p	Verified	chrXI	556518	557342	1
S000001769	YKR061W	KTR2	Kre Two Related	Mannosyltransferase involved in N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; KTR2 has a paralog, YUR1, that arose from the whole genome duplication	Verified	chrXI	557677	558954	1
S000001770	YKR062W	TFA2	Transcription Factor A	TFIIE small subunit; involved in RNA polymerase II transcription initiation	Verified	chrXI	559666	560652	1
S000001771	YKR063C	LAS1	Lethal in the Absence of SSD1-v	Endonuclease involved in pre-rRNA processing at both ends of ITS2; functions with Grc3p in a conserved mechanism to cleave pre-rRNA at a specific site during rRNA processing and ribosome biogenesis; may coordinate the action of the Rat1p-Rai1p exoRNAse; required for the G1/S cell cycle transition; human ortholog is Las1L; mutants require the SSD1-v allele for viability	Verified	chrXI	560789	562297	-1
